Organisation,Age (years),Number of Employees,"Mission: Taxonomic Focus 
(1 - Single sp, 2 - Broad taxonomic group, 3 - All species - no restriction )","Programs Actual projects: Taxonomic Focus 
(Number of taxa)","Geographic focus 
Local/State/National/World",Followers on biggest social media platform,Number of Land ownership,Number of restoration projects,Programs are climate change focussed?,Engagment with Teachers/Schools,Membership program,Total Revenue,Annual Income,Percent of government funding,Percent of donations/membership,Number of corporate partners
Invertebrates Australia,1,16,2,2,National,534,0,0,No,No,Yes,,,0.9,0.1,10
Biodiversity Council,1,8,3,0,National,272,0,0,No,No,No,NA,NA,NA,NA,0
Australian Wildlife Conservancy,32,186,3,50,National,126000,31,31,No,No,No,27444656,-1224881,0.158,0.7121,14
Wheen Bee Foundation,24,9,2,100,National,"3,200",0,,Yes,Yes,,892549,,0.105,0.413,
Odonata,10,9,10,5,National,"1,000",3,3,yes,No,No,3861530,-96517,0.2181,0.3968,4
Australian Climate and Biodiversity Foundation,2,NA,3,1,National,198,0,0,Yes,No,No,1961408,,0,1,NA
WWF Australia,45,NA,1,15,National,158000,0,5,Yes,No,Yes,50200000,-8946629,0.13,0.53,30
Wilderness Society,47,51,3,0,National,200000,0,0,Yes,,,,,,,
The Nature Conservancy Australia,19,80,3,NA,National,157000,0,?,yes,No,No,14954548,-5915838,0.6422,0.296,0
Minibeast,18,10,2,NA,National,20000,0,0,0,Yes,No,NA,NA,NA,NA,NA
Australia and State Museums,196,390,3,50,National,103000,0,0,Yes,Yes,Yes,,76100000,0.808,0.078,22
Taronga Zoo,107,334,3,20,National,,,,Yes,Yes,Yes,141904,NA,0.49,0.09,41
Birdlife Australia,11,145,2,100,National,94000,5,3,No,Yes,Yes,16226268,4128708,0.2016,0.5353,51
Earthwatch Australia,41,16,3,,National,9100,0,,yes,yes,No,2117580,"-15,386",0.18,0.04,15
Great Barrier Reef Foundation (corals),23,66,2,6,National,"395,000",0,6 (all),Yes,Yes,,"95,979,982",,0.8533,0.027,41
Bush Heritage Australia,32,170,3,0,National,143000,42,6,Yes,No,No,"64,000,000","35,256,000",0.02,0.91,13
Australian and State Botanic Gardens,,,,,,,,,,,,,,,,
Xerces Society (USA),52,64,2,10,World,"52,000",0,,Yes,Yes,,"13,012,830","9,043,199",0.057,0.092,58
"Buglife (UK, Europe)",21,35,2,26,National,64000,0,4,Yes,Yes,Yes,NA,"2,601,444",NA,0.2643,38
Arcadia,22,25,3,,World,5000,0,,,No,No,NA,NA,NA,1,NA
NSF Research Coordination Network - Insect Decline,,,,,,,,,,,,,,,,